SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230428|2I65BRZI4_5Y_DS10|"HY40 V1 5Y CD "|CD|INDX|CDX|CDXHY|2I65BRZI4|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|100.85|101.08|100.85|101.08|USD|40000000.0|40000000|40000000|40000000|0|40000000|40000000|0|4|4|0
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230426|727012|"1M USD vs. CHF Put at a delta of 50"|FX|O||USDCHF||USD|CASH||N|N|||P|50250|50250|50250|50250|USD|250000000|5000000|250000000|0|250000000|5000000|0|5000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230426|727013|"1M USD vs. CHF Call at a delta of 50"|FX|O||USDCHF||USD|CASH||N|N|||P|47500|47500|47500|47500|USD|250000000|5000000|250000000|0|250000000|5000000|0|5000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230426|727014|"3M GBP vs. JPY Put at a delta of 25"|FX|O||GBPJPY||GBP|CASH||N|N|||P|360000|360000|360000|360000|GBP|937500000|37500000|1171500030|0|1171500030|46860000|0|46860000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230426|727015|"3M GBP vs. JPY Call at a delta of 25"|FX|O||GBPJPY||GBP|CASH||N|N|||P|236250|236250|236250|236250|GBP|750000000|30000000|937200060|0|937200060|37488000|0|37488000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230427|727017|"1W EUR vs. JPY Put at a delta of 50"|FX|O||EURJPY||EUR|CASH||N|N|||P|106875|106875|106875|106875|EUR|750000000|15000000|827550020|0|827550020|16551000|0|16551000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230427|727018|"1W EUR vs. JPY Call at a delta of 50"|FX|O||EURJPY||EUR|CASH||N|N|||P|108750|108750|108750|108750|EUR|750000000|15000000|827550020|0|827550020|16551000|0|16551000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230427|727019|"1Y USD vs. JPY Put at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|2212500|2212500|2212500|2212500|USD|2500000000|50000000|2500000000|0|2500000000|50000000|0|50000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230427|727020|"1Y USD vs. JPY Call at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|1948750|1948750|1948750|1948750|USD|2500000000|50000000|2500000000|0|2500000000|50000000|0|50000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230427|20230427|727021|"2M EUR vs. USD Call at a strike of 1.13"|FX|O||EURUSD||EUR|CASH||N|N|||P|337500|1012500|337500|1012500|EUR|200000000.0|200000000|220680000|0|220680000|220680000|0|220680000|2|0|2
