SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230501|2I65BYEC5_5Y_DS50|"IG40 V1 5Y CD "|CD|INDX|CDX|CDXIG|2I65BYEC5|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|75.4|75.4|75.4|75.4|USD|50000000.0|50000000|50000000|50000000|0|50000000|50000000|0|2|2|0
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230501|5Y_CS_INDXTR_CDX_TIG_S37_V1|"5 Year CDS Index Tranche - Markit CDX NA IG S-37 V-1"|CD|INDXTR|CDX|CDXTIG|2I65BYDZ5|USD|CASH||N|N|||P|5.4|5.4|5.4|5.4|USD|10000000.0|10000000|10000000|0|10000000|10000000|0|10000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230501|2I65BYDZ5_5Y_DS50|"IG37 5Y CD "|CD|INDX|CDX|CDXIG|2I65BYDZ5|USD|CASH||N|N|ICE|549300R4IG1TWPZT5U32|O|63|63|63|63|USD|49000000.0|49000000|49000000|49000000|0|49000000|49000000|0|1|1|0
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230428|727238|"1W USD vs. JPY Call at a strike of 132.5"|FX|O||USDJPY||USD|CASH||N|N|||P|317500|317500|317500|317500|USD|100000000.0|100000000|100000000|0|100000000|100000000|0|100000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230428|727240|"1M USD vs. CNH Put at a delta of 50"|FX|O||USDCNH||USD|CASH||N|N|||P|63750|63750|63750|63750|USD|500000000|10000000|500000000|0|500000000|10000000|0|10000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230428|727241|"1M USD vs. CNH Call at a delta of 50"|FX|O||USDCNH||USD|CASH||N|N|||P|62250|62250|62250|62250|USD|500000000|10000000|500000000|0|500000000|10000000|0|10000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230428|727243|"OD USD vs. JPY Put at a strike of 134.4"|FX|O||USDJPY||USD|CASH||N|N|||P|300000|300000|300000|300000|USD|50000000.0|50000000|50000000|0|50000000|50000000|0|50000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230428|727245|"2M USD vs. JPY Put at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|182500|456250|182500|456250|USD|1750000000|35000000|1750000000|0|1750000000|35000000|0|35000000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230428|727246|"2M USD vs. JPY Call at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|171000|427500|171000|427500|USD|1750000000|35000000|1750000000|0|1750000000|35000000|0|35000000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230428|20230428|727247|"6M USD vs. JPY Put at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|189300|465362.5|189300|465362.5|USD|1037500000|20750000|1037500030|0|1037500030|20750000|0|20750000|2|0|2
