SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230426|2I65BYEC5_5Y_DS50|"IG40 V1 5Y CD "|CD|INDX|CDX|CDXIG|2I65BYEC5|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|77.2|78.7|77.2|78.7|USD|75000000.0|75000000|75000000|75000000|0|75000000|75000000|0|3|3|0
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726511|"2M USD vs. JPY Put at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|453750|453750|453750|453750|USD|1250000000|25000000|1250000000|0|1250000000|25000000|0|25000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726512|"2M USD vs. JPY Call at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|426250|426250|426250|426250|USD|1250000000|25000000|1250000000|0|1250000000|25000000|0|25000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726513|"ON EUR vs. USD Put at a strike of 1.105"|FX|O||EURUSD||EUR|CASH||N|N|||P|40000|80000|40000|80000|EUR|75000000.0|75000000|82320000|0|82320000|82320000|0|82320000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726515|"OD USD vs. CNH Call at a strike of 6.815"|FX|O||USDCNH||USD|CASH||N|N|||P|23250|23250|23250|23250|USD|30000000.0|30000000|30000000|0|30000000|30000000|0|30000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726516|"OD USD vs. CNH Put at a strike of 7.05"|FX|O||USDCNH||USD|CASH||N|N|||P|6750|6750|6750|6750|USD|30000000.0|30000000|30000000|0|30000000|30000000|0|30000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726518|"1W USD vs. JPY Call at a delta of 25"|FX|O||USDJPY||USD|CASH||N|N|||P|184250|184250|184250|184250|USD|1675000000|67000000|1675000060|0|1675000060|67000000|0|67000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726519|"1W USD vs. JPY Put at a delta of 25"|FX|O||USDJPY||USD|CASH||N|N|||P|100000|100000|100000|100000|USD|1250000000|50000000|1250000000|0|1250000000|50000000|0|50000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726521|"OD USD vs. CNH Put at a strike of 6.95"|FX|O||USDCNH||USD|CASH||N|N|||P|124500|124500|124500|124500|USD|30000000.0|30000000|30000000|0|30000000|30000000|0|30000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726523|"2W USD vs. JPY Call at a delta of 25"|FX|O||USDJPY||USD|CASH||N|N|||P|171250|171250|171250|171250|USD|2500000000|100000000|2500000000|0|2500000000|100000000|0|100000000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726525|"2M AUD vs. USD Call at a strike of 0.674"|FX|O||AUDUSD||AUD|CASH||N|N|||P|471250|471250|471250|471250|AUD|100000000.0|100000000|66340000|0|66340000|66340000|0|66340000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726526|"OD AUD vs. USD Put at a strike of 0.658"|FX|O||AUDUSD||AUD|CASH||N|N|||P|389250|389250|389250|389250|AUD|86500000.0|86500000|57384100|0|57384100|57384100|0|57384100|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726529|"1M EUR vs. USD Put at a delta of 50"|FX|O||EURUSD||EUR|CASH||N|N|||P|755625|1414000|150000|635937.5|EUR|20500000000|410000000|22500800500|0|22500800500|450016000|0|450016000|9|0|9
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726530|"1M EUR vs. USD Call at a delta of 50"|FX|O||EURUSD||EUR|CASH||N|N|||P|742500|1386000|147000|612500|EUR|20500000000|410000000|22500800500|0|22500800500|450016000|0|450016000|9|0|9
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726531|"1M EUR vs. USD Put at a delta of 10"|FX|O||EURUSD||EUR|CASH||N|N|||P|225000|225000|225000|225000|EUR|1800000000|180000000|1975680000|0|1975680000|197568000|0|197568000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726532|"1M EUR vs. USD Call at a delta of 10"|FX|O||EURUSD||EUR|CASH||N|N|||P|220500|220500|220500|220500|EUR|1800000000|180000000|1975680000|0|1975680000|197568000|0|197568000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726533|"9M EUR vs. USD Put at a delta of 50"|FX|O||EURUSD||EUR|CASH||N|N|||P|450750|2263125|298500|754375|EUR|12425000000|248500000|13637680100|0|13637680100|272753600|0|272753600|8|0|8
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726534|"9M EUR vs. USD Call at a delta of 50"|FX|O||EURUSD||EUR|CASH||N|N|||P|414750|2100000|274250|700000|EUR|12425000000|248500000|13637680100|0|13637680100|272753600|0|272753600|8|0|8
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726535|"9M EUR vs. USD Call at a delta of 10"|FX|O||EURUSD||EUR|CASH||N|N|||P|104250|347500|104250|347500|EUR|1300000000|130000000|1426880000|0|1426880000|142688000|0|142688000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726537|"1Y USD vs. CNH Put at a delta of 50"|FX|O||USDCNH||USD|CASH||N|N|||P|233500|578750|233500|578750|USD|1750000000|35000000|1750000000|0|1750000000|35000000|0|35000000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726538|"1Y USD vs. CNH Call at a delta of 50"|FX|O||USDCNH||USD|CASH||N|N|||P|217750|539375|217750|539375|USD|1750000000|35000000|1750000000|0|1750000000|35000000|0|35000000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726540|"OD USD vs. JPY Call at a strike of 133"|FX|O||USDJPY||USD|CASH||N|N|||P|162500|162500|162500|162500|USD|50000000.0|50000000|50000000|0|50000000|50000000|0|50000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230425|20230425|726541|"OD USD vs. JPY Call at a strike of 130"|FX|O||USDJPY||USD|CASH||N|N|||P|27500|27500|27500|27500|USD|50000000.0|50000000|50000000|0|50000000|50000000|0|50000000|1|0|1
